id,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,earliest_cr_line
54734,0,0,120,130,10,0,28854,0.52,42,2/15/1994 10:39
55742,0,0,120,130,7,0,33623,0.77,7,10/21/2000 12:30
57245,0,0,64,130,5,0,2584,0.4,31,1/21/1985 5:20
57416,0,1,58,130,14,0,3511,0.26,40,12/12/1996 7:47
58915,0,1,120,130,3,0,33667,0.73,11,11/16/2000 1:16
59006,1,0,13,0,13,0,4740,0.4,23,7/28/1998 10:52
61390,0,0,120,130,11,0,50807,0.51,19,5/6/1993 9:46
61419,0,0,38,63,5,1,3839,0.77,9,6/3/2001 12:46
62102,0,0,120,130,7,0,3198,0.51,11,6/4/2006 5:41
65426,0,0,0,0,14,0,24220,0.69,33,8/22/1995 12:59
65640,0,1,0,0,20,0,69909,0.51,51,5/16/1997 8:47
66431,0,1,120,130,5,0,5630,0.23,8,9/5/2001 3:24
66749,0,2,57,85,5,1,13846,0.71,16,7/31/1990 1:26
66943,0,0,120,97,7,1,2183,0.2,23,12/5/2000 11:55
66964,1,2,10,130,11,0,5122,0.18,37,8/29/1996 12:28
67503,0,0,120,130,7,0,6068,0.17,49,12/12/1991 12:57
68163,1,0,16,130,14,0,3021,0.05,25,2/1/1998 3:48
68381,0,0,120,130,3,0,6282,0.45,9,12/8/2003 10:40
68817,0,1,45,130,7,0,5394,0.53,23,11/9/1985 5:21
68926,0,0,46,0,4,0,2211,0.88,13,12/14/1997 9:41
69001,0,1,0,0,6,0,7586,0.53,19,11/18/1991 6:28
69124,0,0,120,130,2,0,8311,0.6,9,8/21/2000 8:09
69168,0,3,120,130,2,0,591,0.84,6,2/28/2005 5:07
69251,0,1,0,0,16,0,29797,0.23,39,12/3/1994 5:11
69550,0,1,120,130,7,0,7248,0.69,11,10/8/2005 1:27
69828,0,0,0,0,4,0,5656,0.28,25,6/23/1975 1:40
69924,0,0,0,0,11,0,21162,0.58,14,11/29/2002 10:44
69990,0,1,120,130,8,0,16931,0.35,21,9/5/1994 2:31
70348,0,0,68,63,5,1,4822,0.58,27,11/28/1997 9:29
76597,2,0,5,130,5,0,14354,0.37,7,4/1/2003 8:00
84918,0,1,120,130,12,0,1576,0.06,21,12/1/1994 8:00
87023,1,0,11,0,7,0,4175,0.52,8,10/27/2003 6:48
88854,0,0,0,0,2,0,3164,0.14,2,3/15/1995 9:28
90376,0,0,0,0,17,0,85607,0.01,26,11/19/1988 1:22
90395,0,0,0,0,11,0,9698,0.19,20,10/28/1998 2:23
90665,1,1,5,0,6,0,8847,0.27,9,12/30/1986 2:01
90966,0,0,0,0,2,0,6053,0.2,19,12/25/1987 8:20
92187,0,0,0,0,13,0,7274,0.13,40,11/11/1990 2:03
92402,0,0,0,0,10,0,66033,0.23,29,5/24/1994 6:05
92440,0,0,0,0,8,0,3660,0.07,16,7/21/2000 6:55
92507,0,0,0,0,7,0,216,0.01,19,10/5/1997 9:29
92533,0,3,0,44,15,1,27185,0.16,29,7/12/1996 10:32
92552,0,1,0,0,6,0,28329,0.49,6,8/17/1995 11:31
92666,0,1,0,0,16,0,60568,0.39,38,2/19/1995 4:25
92676,0,0,0,0,12,0,40934,0.26,39,6/13/1996 4:45
93061,0,0,0,0,8,0,8379,0.17,16,10/6/1997 10:27
93277,0,1,0,0,10,0,3660,0.08,13,9/21/2000 4:23
94838,1,0,19,0,5,0,0,0,8,2/11/1997 4:54
96350,0,0,0,0,10,0,15840,0.47,12,4/5/1993 4:50
96844,0,0,0,0,15,0,6844,0.14,29,2/9/1992 11:23
98276,0,0,0,0,4,0,1321,0.17,4,3/29/1989 10:41
98339,0,0,0,0,11,0,4737,0.24,22,6/27/1995 1:41
98982,0,0,0,0,21,0,23489,0.38,28,1/7/1999 11:30
99009,0,0,0,0,10,0,2817,0.1,16,1/11/1987 12:55
100214,0,1,0,0,5,0,1783,0,11,8/19/1991 4:36
101579,0,0,0,0,4,0,3534,0.54,4,9/17/2003 2:57
102376,0,0,0,0,5,0,2422,0.23,12,1/7/2000 6:01
106079,0,1,0,0,10,0,2864,0.41,16,12/26/2002 11:41
106360,0,1,0,0,12,0,3075,0.92,13,8/24/2003 2:56
107136,1,2,19,0,10,0,17214,0.08,24,2/25/1969 2:06
109355,0,2,24,0,3,0,1153,0.76,4,5/25/2004 5:00
111227,0,0,120,130,17,0,41674,0.74,26,1/1/1996 8:00
111307,0,3,78,0,9,0,43039,0.93,24,4/7/1995 9:05
111917,0,0,120,130,7,0,3362,0.69,8,4/1/2001 8:00
112216,2,0,2,0,6,0,11868,0.72,23,8/19/1983 1:54
112245,0,2,0,0,4,0,2562,0.14,7,2/9/1985 4:44
112323,0,0,0,0,17,0,1882,0.32,18,9/3/2003 9:23
112496,0,2,0,61,3,1,1064,0.71,6,7/21/2000 6:48
113156,1,0,15,0,19,0,6432,0.06,37,11/27/1993 5:19
113179,0,1,0,0,9,0,4485,0.37,11,7/2/2004 6:13
113194,1,0,5,0,13,0,16310,0.21,32,11/27/1993 7:31
116040,0,0,38,0,9,0,20969,0.4,26,4/22/1991 6:27
116582,0,0,44,0,10,0,22213,0.66,22,3/7/2000 6:24
117056,0,1,47,0,12,0,2160,0.02,22,12/15/1992 8:42
117249,0,0,0,0,13,0,813,0.01,36,9/20/1980 4:30
117794,0,4,0,0,15,0,23678,0.24,60,5/3/1993 12:33
117863,0,3,0,0,10,0,11289,0.48,15,5/8/2000 7:20
118523,0,0,0,0,11,0,56411,0.75,28,7/1/1990 9:19
118533,0,3,0,0,9,0,269,0.04,35,2/9/1994 3:01
118823,0,1,0,0,11,0,3408,0.35,32,7/20/1992 12:31
119043,0,3,54,111,13,1,6513,0.34,29,11/21/1992 12:36
120215,0,0,0,0,2,0,330,0.11,4,11/3/2002 7:03
120374,0,1,24,0,13,0,5967,0.2,17,8/16/2000 5:06
120525,0,1,0,0,4,0,5533,0.8,5,8/10/2001 10:06
121426,0,0,0,0,15,0,21050,0.01,24,9/12/1984 9:12
121530,0,0,0,0,17,0,21050,0.01,29,9/12/1984 10:35
121535,0,1,120,130,6,0,8155,0.15,8,5/1/1999 7:00
121568,0,1,120,130,6,0,8155,0.15,8,5/1/1999 7:00
121824,0,0,0,0,10,0,3678,0.31,14,2/22/2000 3:59
122070,0,2,42,0,10,0,2040,0.36,21,7/23/1999 7:33
122404,0,2,0,0,9,0,33074,0.69,9,3/24/2000 7:51
122637,0,0,0,0,12,0,1918,0.17,16,9/22/2000 3:09
122718,0,0,0,0,8,0,22379,0.62,15,10/12/2002 7:45
123228,0,0,0,0,4,0,10296,0.43,8,8/20/2001 9:11
123230,0,3,0,0,16,0,2867,0.55,17,2/6/2004 9:20
124436,0,0,0,0,9,0,12310,0.86,15,10/18/2002 8:55
125671,0,0,0,0,10,0,61921,0.39,27,2/7/1971 2:08
125897,0,2,0,0,9,0,16738,0.26,24,6/16/1997 4:12
126213,0,1,0,0,13,0,40384,0.09,28,5/25/1991 1:13
126215,0,2,0,0,8,0,1359,0.06,16,10/27/2001 12:49
126287,0,2,0,0,18,0,107501,0.45,34,6/25/1979 9:15
126392,0,3,0,0,14,0,3054,0.06,41,9/23/1985 5:13
126776,0,0,0,0,11,0,40384,0.1,25,11/4/1983 1:59
126788,0,3,0,0,9,0,128000,0,18,4/5/1995 2:38
127213,0,0,120,130,14,0,4709,0.19,8,6/1/1991 7:00
